,Age,Gender,Income Quintile,Race and Ethnicity,Region,Affinity,Familiarity,Previously Purchased,Channel: WXP,Channel: RCQ,Channel: MegaNews,Channel: The Springfield Times,Channel: The Springfield Journal,Channel: The Springfield Post,Channel: The Franklin Burgher,Channel: GolfMAX,Channel: Sloth Magazine,Channel: GlitzNGlam,Channel: Cooking with Kevin,Channel: The Coffee Channel
4559,15-24,Female,1,Black,Northeast,Strongly dislike,Very familiar,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
4560,65+,Male,3,Non-Hispanic White,South,Strongly like,Somewhat familiar,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No
4561,55-64,Female,3,Non-Hispanic White,Northeast,Strongly dislike,Very familiar,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
4562,25-54,Female,5,Asian,Northeast,Neutral,Somewhat familiar,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No
4563,25-54,Male,1,Non-Hispanic White,West,Dislike,Somewhat familiar,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes
4564,25-54,Female,1,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No
4565,55-64,Male,5,Non-Hispanic White,South,Like,Very familiar,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No
4566,25-54,Female,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No
4567,25-54,Female,1,Non-Hispanic White,Midwest,Dislike,Somewhat familiar,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes
4568,25-54,Female,4,Hispanic,Midwest,Dislike,Somewhat familiar,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No
4569,25-54,Male,4,Non-Hispanic White,South,Neutral,Unfamiliar,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No
4570,25-54,Female,3,Hispanic,Northeast,Dislike,Somewhat familiar,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
4571,25-54,Female,5,Non-Hispanic White,Northeast,Dislike,Very familiar,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No
4572,15-24,Female,3,Hispanic,Midwest,Neutral,Unfamiliar,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
4573,25-54,Male,2,Hispanic,Midwest,Strongly dislike,Very familiar,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes
4574,15-24,Male,3,Non-Hispanic White,Midwest,Dislike,Very familiar,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No
4575,25-54,Female,1,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No
4576,25-54,Female,4,Non-Hispanic White,Northeast,Strongly dislike,Somewhat familiar,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No
4577,25-54,Other,2,Hispanic,West,Neutral,Unfamiliar,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
4578,65+,Female,1,Non-Hispanic White,Midwest,Neutral,Unfamiliar,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No
4579,25-54,Male,1,Other,West,Neutral,Unfamiliar,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No
4580,15-24,Female,5,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No
4581,25-54,Male,2,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No
4582,15-24,Female,3,Hispanic,West,Neutral,Somewhat familiar,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes
4583,25-54,Female,4,Non-Hispanic White,Northeast,Strongly dislike,Somewhat familiar,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No
4584,65+,Male,5,Non-Hispanic White,South,Like,Somewhat familiar,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes
4585,25-54,Other,3,Other,South,Neutral,Unfamiliar,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No
4586,65+,Male,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes
4587,25-54,Male,3,Hispanic,West,Neutral,Unfamiliar,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes
4588,25-54,Male,5,Hispanic,South,Strongly like,Somewhat familiar,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
4589,25-54,Male,3,Other,South,Neutral,Unfamiliar,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
4590,55-64,Female,5,Black,Northeast,Dislike,Very familiar,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes
4591,25-54,Female,3,Other,West,Neutral,Unfamiliar,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No
4592,25-54,Female,2,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No
4593,25-54,Female,5,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
4594,25-54,Female,5,Other,Northeast,Neutral,Unfamiliar,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No
4595,25-54,Female,2,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes
4596,65+,Female,4,Non-Hispanic White,Midwest,Neutral,Unfamiliar,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
4597,25-54,Male,4,Non-Hispanic White,Northeast,Like,Somewhat familiar,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No
4598,25-54,Female,2,Hispanic,West,Neutral,Somewhat familiar,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No
4599,25-54,Male,3,Non-Hispanic White,Midwest,Dislike,Very familiar,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No
4600,15-24,Male,2,Non-Hispanic White,South,Neutral,Somewhat familiar,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No
4601,25-54,Male,3,Non-Hispanic White,Midwest,Like,Very familiar,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No
4602,65+,Female,5,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No
4603,25-54,Female,4,Non-Hispanic White,Midwest,Like,Somewhat familiar,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No
4604,65+,Male,4,Non-Hispanic White,West,Like,Somewhat familiar,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No
4605,15-24,Female,1,Hispanic,West,Strongly dislike,Somewhat familiar,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No
4606,55-64,Male,5,Non-Hispanic White,West,Strongly like,Somewhat familiar,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
4607,55-64,Male,4,Non-Hispanic White,Northeast,Neutral,Very familiar,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No
4608,25-54,Male,1,Hispanic,West,Dislike,Somewhat familiar,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No
4609,55-64,Male,5,Other,South,Neutral,Unfamiliar,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No
4610,25-54,Male,3,Non-Hispanic White,South,Like,Somewhat familiar,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No
4611,65+,Female,3,Non-Hispanic White,Midwest,Neutral,Somewhat familiar,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No
4612,65+,Male,1,Non-Hispanic White,West,Like,Somewhat familiar,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No
4613,25-54,Other,2,Hispanic,South,Neutral,Unfamiliar,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
4614,25-54,Male,2,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No
4615,25-54,Female,3,Black,Northeast,Strongly dislike,Somewhat familiar,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No
4616,25-54,Female,5,Hispanic,South,Neutral,Unfamiliar,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
4617,25-54,Male,4,Hispanic,South,Neutral,Unfamiliar,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No
4618,25-54,Male,2,Asian,Midwest,Neutral,Very familiar,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No
4619,25-54,Female,5,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No
4620,25-54,Female,1,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No
4621,15-24,Male,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes
4622,25-54,Female,1,Black,South,Neutral,Unfamiliar,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No
4623,25-54,Female,3,Black,West,Dislike,Somewhat familiar,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No
4624,15-24,Male,5,Non-Hispanic White,Northeast,Like,Very familiar,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No
4625,25-54,Male,4,Black,Northeast,Strongly like,Very familiar,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No
4626,25-54,Female,5,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No
4627,25-54,Male,5,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
4628,65+,Male,4,Non-Hispanic White,South,Like,Somewhat familiar,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No
4629,15-24,Female,2,Hispanic,South,Neutral,Unfamiliar,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
4630,25-54,Female,2,Non-Hispanic White,South,Neutral,Unfamiliar,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No
4631,25-54,Female,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No
4632,25-54,Female,5,Black,South,Neutral,Unfamiliar,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
4633,25-54,Female,1,Non-Hispanic White,West,Neutral,Unfamiliar,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No
4634,25-54,Male,5,Hispanic,South,Neutral,Unfamiliar,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No
4635,25-54,Male,3,Black,Midwest,Neutral,Very familiar,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
4636,65+,Female,3,Hispanic,South,Neutral,Unfamiliar,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No
4637,65+,Male,2,Hispanic,Midwest,Like,Very familiar,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes
4638,15-24,Male,4,Non-Hispanic White,South,Strongly like,Somewhat familiar,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No
4639,65+,Female,5,Hispanic,Northeast,Dislike,Very familiar,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
4640,25-54,Female,5,Black,South,Neutral,Unfamiliar,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No
4641,25-54,Female,3,Hispanic,South,Neutral,Unfamiliar,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
4642,15-24,Male,4,Other,South,Neutral,Unfamiliar,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No
4643,15-24,Male,3,Hispanic,West,Neutral,Somewhat familiar,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No
4644,25-54,Male,2,Non-Hispanic White,West,Neutral,Very familiar,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No
4645,25-54,Male,5,Non-Hispanic White,West,Like,Somewhat familiar,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No
4646,25-54,Female,5,Non-Hispanic White,Northeast,Dislike,Somewhat familiar,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No
4647,15-24,Female,2,Black,West,Dislike,Somewhat familiar,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
4648,25-54,Female,4,Non-Hispanic White,Northeast,Strongly dislike,Somewhat familiar,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No
4649,25-54,Male,1,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No
4650,25-54,Male,2,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No
4651,25-54,Male,3,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes
4652,25-54,Female,5,Non-Hispanic White,Northeast,Dislike,Very familiar,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No
4653,25-54,Female,3,Black,West,Strongly dislike,Somewhat familiar,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes
4654,55-64,Female,5,Non-Hispanic White,South,Strongly like,Somewhat familiar,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No
4655,25-54,Male,1,Non-Hispanic White,West,Dislike,Very familiar,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No
4656,65+,Female,5,Hispanic,Northeast,Like,Somewhat familiar,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No
4657,25-54,Male,2,Non-Hispanic White,Midwest,Neutral,Somewhat familiar,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes
4658,25-54,Male,5,Other,Midwest,Like,Somewhat familiar,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No
4659,55-64,Male,2,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No
4660,55-64,Female,5,Hispanic,Northeast,Neutral,Somewhat familiar,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
4661,65+,Male,1,Non-Hispanic White,Northeast,Dislike,Very familiar,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No
4662,25-54,Male,5,Non-Hispanic White,West,Neutral,Somewhat familiar,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
4663,25-54,Male,3,Asian,Midwest,Neutral,Very familiar,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No
4664,25-54,Male,1,Black,South,Neutral,Unfamiliar,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No
4665,25-54,Male,3,Non-Hispanic White,West,Neutral,Somewhat familiar,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes
4666,25-54,Male,5,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes
4667,25-54,Female,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No
4668,25-54,Male,1,Black,Midwest,Strongly dislike,Very familiar,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes
4669,25-54,Female,4,Black,South,Neutral,Unfamiliar,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
4670,15-24,Male,4,Hispanic,South,Neutral,Unfamiliar,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
4671,25-54,Male,1,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes
4672,25-54,Female,2,Hispanic,Midwest,Neutral,Somewhat familiar,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No
4673,25-54,Female,2,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
4674,65+,Male,2,Hispanic,South,Like,Somewhat familiar,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes
4675,25-54,Male,2,Black,West,Neutral,Somewhat familiar,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes
4676,65+,Male,1,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No
4677,25-54,Male,2,Non-Hispanic White,Northeast,Strongly dislike,Very familiar,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes
4678,55-64,Male,2,Non-Hispanic White,West,Neutral,Somewhat familiar,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes
4679,25-54,Male,5,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No
4680,55-64,Female,2,Hispanic,Northeast,Strongly dislike,Somewhat familiar,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
4681,25-54,Male,1,Hispanic,Northeast,Strongly dislike,Very familiar,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No
4682,25-54,Female,5,Hispanic,Northeast,Neutral,Very familiar,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No
4683,65+,Male,4,Non-Hispanic White,West,Like,Somewhat familiar,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No
4684,65+,Female,5,Non-Hispanic White,West,Like,Somewhat familiar,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No
4685,25-54,Female,3,Non-Hispanic White,Northeast,Dislike,Somewhat familiar,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
4686,65+,Male,5,Black,Midwest,Strongly like,Somewhat familiar,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No
4687,65+,Female,3,Non-Hispanic White,Midwest,Neutral,Somewhat familiar,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No
4688,65+,Female,2,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No
4689,55-64,Female,4,Non-Hispanic White,Northeast,Neutral,Somewhat familiar,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No
4690,15-24,Male,3,Asian,West,Neutral,Unfamiliar,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No
4691,55-64,Female,4,Black,West,Dislike,Somewhat familiar,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
4692,25-54,Female,3,Hispanic,Northeast,Neutral,Somewhat familiar,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes
4693,25-54,Male,2,Asian,South,Neutral,Unfamiliar,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes
4694,25-54,Male,5,Non-Hispanic White,Midwest,Neutral,Very familiar,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
4695,25-54,Female,3,Asian,South,Neutral,Unfamiliar,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No
4696,25-54,Female,3,Non-Hispanic White,West,Dislike,Somewhat familiar,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No
4697,55-64,Female,3,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No
4698,25-54,Male,1,Other,South,Neutral,Somewhat familiar,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
4699,25-54,Female,1,Non-Hispanic White,Midwest,Strongly dislike,Somewhat familiar,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes
4700,65+,Female,5,Non-Hispanic White,Midwest,Neutral,Unfamiliar,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No
4701,65+,Male,3,Hispanic,Northeast,Neutral,Very familiar,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No
4702,25-54,Male,3,Non-Hispanic White,West,Neutral,Somewhat familiar,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
4703,55-64,Male,4,Non-Hispanic White,Midwest,Neutral,Somewhat familiar,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No
4704,55-64,Female,2,Hispanic,West,Neutral,Unfamiliar,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes
4705,25-54,Male,5,Hispanic,South,Like,Somewhat familiar,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes
4706,25-54,Female,4,Non-Hispanic White,West,Dislike,Somewhat familiar,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No
4707,65+,Female,5,Black,South,Neutral,Unfamiliar,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No
4708,65+,Female,2,Non-Hispanic White,South,Neutral,Unfamiliar,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No
4709,25-54,Male,2,Non-Hispanic White,Northeast,Strongly dislike,Very familiar,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No
4710,25-54,Female,2,Non-Hispanic White,Midwest,Strongly dislike,Somewhat familiar,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No
4711,55-64,Male,2,Hispanic,South,Neutral,Unfamiliar,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No
4712,15-24,Male,5,Hispanic,South,Neutral,Unfamiliar,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
4713,65+,Male,3,Asian,West,Like,Somewhat familiar,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes
4714,15-24,Female,3,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes
4715,25-54,Male,4,Non-Hispanic White,West,Like,Somewhat familiar,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No
4716,55-64,Male,2,Hispanic,Northeast,Strongly dislike,Very familiar,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No
4717,15-24,Male,5,Asian,South,Strongly like,Somewhat familiar,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes
4718,65+,Male,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No
4719,15-24,Male,3,Hispanic,South,Neutral,Unfamiliar,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No
4720,25-54,Female,1,Hispanic,South,Neutral,Unfamiliar,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No
4721,25-54,Female,1,Black,South,Neutral,Unfamiliar,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No
4722,25-54,Female,5,Hispanic,Northeast,Dislike,Very familiar,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
4723,65+,Male,2,Non-Hispanic White,South,Neutral,Somewhat familiar,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No
4724,25-54,Male,4,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No
4725,25-54,Female,5,Non-Hispanic White,West,Neutral,Unfamiliar,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No
4726,65+,Male,3,Non-Hispanic White,Northeast,Neutral,Very familiar,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
4727,65+,Male,4,Asian,Northeast,Strongly dislike,Very familiar,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No
4728,55-64,Male,3,Non-Hispanic White,Midwest,Neutral,Very familiar,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes
4729,25-54,Male,2,Hispanic,South,Neutral,Unfamiliar,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes
4730,25-54,Male,2,Black,Midwest,Neutral,Very familiar,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No
4731,55-64,Male,1,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No
4732,25-54,Male,2,Black,South,Like,Somewhat familiar,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No
4733,25-54,Male,5,Non-Hispanic White,South,Strongly like,Somewhat familiar,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No
4734,25-54,Female,1,Hispanic,West,Neutral,Unfamiliar,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
4735,15-24,Male,4,Non-Hispanic White,Midwest,Strongly dislike,Very familiar,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes
4736,55-64,Female,4,Black,Northeast,Strongly dislike,Very familiar,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No
4737,25-54,Other,2,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
4738,25-54,Female,5,Hispanic,West,Neutral,Unfamiliar,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
4739,25-54,Female,4,Other,Northeast,Neutral,Unfamiliar,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No
4740,55-64,Male,1,Non-Hispanic White,Midwest,Dislike,Somewhat familiar,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes
4741,25-54,Male,4,Non-Hispanic White,South,Strongly like,Somewhat familiar,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No
4742,25-54,Male,2,Non-Hispanic White,West,Neutral,Somewhat familiar,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No
4743,65+,Female,5,Hispanic,South,Neutral,Unfamiliar,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No
4744,55-64,Female,1,Asian,South,Neutral,Unfamiliar,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No
4745,25-54,Male,1,Other,South,Neutral,Unfamiliar,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No
4746,25-54,Female,1,Hispanic,Midwest,Strongly dislike,Somewhat familiar,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No
4747,25-54,Male,2,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No
4748,25-54,Female,4,Non-Hispanic White,Northeast,Strongly dislike,Somewhat familiar,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No
4749,15-24,Female,4,Hispanic,South,Neutral,Unfamiliar,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No
4750,55-64,Female,1,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No
4751,15-24,Female,5,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No
4752,65+,Female,2,Non-Hispanic White,Northeast,Dislike,Very familiar,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes
4753,65+,Male,5,Black,West,Strongly like,Somewhat familiar,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No
4754,15-24,Female,1,Non-Hispanic White,Northeast,Strongly dislike,Somewhat familiar,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No
4755,25-54,Female,5,Non-Hispanic White,Midwest,Neutral,Unfamiliar,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
4756,25-54,Female,3,Hispanic,South,Neutral,Unfamiliar,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No
4757,25-54,Female,1,Non-Hispanic White,Midwest,Neutral,Unfamiliar,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
4758,25-54,Male,5,Hispanic,Midwest,Like,Somewhat familiar,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No
